VAE KL,Epoch Train Time,SVI KL,VAE PPL,AR PPL,VAE NLL,Epoch,Mode,VAE REC,SVI NLL,AR NLL,SVI REC,SVI PPL,LR
tensor(4.6333),25.9606294631958,tensor(0.),tensor(118.8996),tensor(1.),tensor(104.5833),34,Val,tensor(99.9500),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0007938926261462366
tensor(4.5516),25.9606294631958,tensor(0.),tensor(112.1058),tensor(1.),tensor(103.4362),34,Test,tensor(98.8846),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0007938926261462366
tensor(4.1156),25.768025159835815,tensor(0.),tensor(117.3008),tensor(1.),tensor(104.2870),35,Val,tensor(100.1714),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0006545084971874737
tensor(4.0413),25.768025159835815,tensor(0.),tensor(110.5498),tensor(1.),tensor(103.1299),35,Test,tensor(99.0886),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0006545084971874737
tensor(3.9313),26.089877605438232,tensor(0.),tensor(116.2354),tensor(1.),tensor(104.0873),36,Val,tensor(100.1560),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0005
tensor(3.8510),26.089877605438232,tensor(0.),tensor(109.6646),tensor(1.),tensor(102.9537),36,Test,tensor(99.1027),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0005
tensor(3.8635),26.271652698516846,tensor(0.),tensor(116.1710),tensor(1.),tensor(104.0752),37,Val,tensor(100.2117),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00034549150281252633
tensor(3.7992),26.271652698516846,tensor(0.),tensor(109.3359),tensor(1.),tensor(102.8879),37,Test,tensor(99.0887),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00034549150281252633
tensor(3.7941),25.906994104385376,tensor(0.),tensor(115.5605),tensor(1.),tensor(103.9599),38,Val,tensor(100.1658),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00020610737385376348
tensor(3.7294),25.906994104385376,tensor(0.),tensor(108.9405),tensor(1.),tensor(102.8085),38,Test,tensor(99.0791),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00020610737385376348
tensor(3.8263),25.586708307266235,tensor(0.),tensor(115.8664),tensor(1.),tensor(104.0178),39,Val,tensor(100.1914),tensor(0.),tensor(0.),tensor(0.),tensor(1.),9.549150281252633e-05
tensor(3.7617),25.586708307266235,tensor(0.),tensor(108.8699),tensor(1.),tensor(102.7943),39,Test,tensor(99.0326),tensor(0.),tensor(0.),tensor(0.),tensor(1.),9.549150281252633e-05
tensor(3.7919),25.274349689483643,tensor(0.),tensor(115.4955),tensor(1.),tensor(103.9476),40,Val,tensor(100.1557),tensor(0.),tensor(0.),tensor(0.),tensor(1.),2.4471741852423235e-05
tensor(3.7273),25.274349689483643,tensor(0.),tensor(108.9297),tensor(1.),tensor(102.8063),40,Test,tensor(99.0790),tensor(0.),tensor(0.),tensor(0.),tensor(1.),2.4471741852423235e-05
