Epoch Train Time,Mode,VAE REC,VAE NLL,Epoch,AR PPL,SVI KL,VAE KL,AR NLL,SVI NLL,SVI REC,SVI PPL,LR,VAE PPL
26.13316249847412,Val,tensor(118.1381),tensor(125.1584),1,tensor(1.),tensor(0.),tensor(7.0203),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(304.3955)
26.13316249847412,Test,tensor(117.1753),tensor(124.2239),1,tensor(1.),tensor(0.),tensor(7.0487),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(289.4305)
25.345294952392578,Val,tensor(111.4647),tensor(119.2319),2,tensor(1.),tensor(0.),tensor(7.7673),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(232.1897)
25.345294952392578,Test,tensor(110.5973),tensor(118.3397),2,tensor(1.),tensor(0.),tensor(7.7424),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(221.2817)
25.32305884361267,Val,tensor(107.7331),tensor(115.6651),3,tensor(1.),tensor(0.),tensor(7.9320),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(197.2737)
25.32305884361267,Test,tensor(106.9259),tensor(114.8289),3,tensor(1.),tensor(0.),tensor(7.9030),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(188.5290)
26.198455333709717,Val,tensor(105.2604),tensor(112.6080),4,tensor(1.),tensor(0.),tensor(7.3477),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(171.5572)
26.198455333709717,Test,tensor(104.3566),tensor(111.6799),4,tensor(1.),tensor(0.),tensor(7.3233),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(163.2971)
26.014929056167603,Val,tensor(104.1746),tensor(110.9940),5,tensor(1.),tensor(0.),tensor(6.8194),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(159.3616)
26.014929056167603,Test,tensor(103.3157),tensor(110.1142),5,tensor(1.),tensor(0.),tensor(6.7984),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(152.0385)
25.219931840896606,Val,tensor(103.3310),tensor(109.2488),6,tensor(1.),tensor(0.),tensor(5.9178),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(147.1477)
25.219931840896606,Test,tensor(102.4951),tensor(108.3452),6,tensor(1.),tensor(0.),tensor(5.8501),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(140.2496)
25.456140995025635,Val,tensor(103.3392),tensor(108.3114),7,tensor(1.),tensor(0.),tensor(4.9722),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(140.9787)
25.456140995025635,Test,tensor(102.3238),tensor(107.2612),7,tensor(1.),tensor(0.),tensor(4.9374),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(133.4812)
