SVI KL,Mode,VAE PPL,LR,AR PPL,SVI PPL,AR NLL,SVI NLL,SVI REC,VAE REC,VAE KL,Epoch Train Time,Epoch,VAE NLL
tensor(0.),Val,tensor(116.4108),2.4471741852423235e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.6187),tensor(3.5017),25.364864587783813,30,tensor(104.1203)
tensor(0.),Test,tensor(109.7504),2.4471741852423235e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.5321),tensor(3.4387),25.364864587783813,30,tensor(102.9708)
tensor(0.),Val,tensor(134.5722),0.001,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(98.4010),tensor(8.8925),25.58822226524353,31,tensor(107.2935)
tensor(0.),Test,tensor(126.7693),0.001,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(97.3261),tensor(8.8043),25.58822226524353,31,tensor(106.1304)
tensor(0.),Val,tensor(124.7548),0.0009755282581475768,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(98.7848),tensor(6.8507),25.49716567993164,32,tensor(105.6355)
tensor(0.),Test,tensor(117.4334),0.0009755282581475768,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(97.6872),tensor(6.7666),25.49716567993164,32,tensor(104.4538)
tensor(0.),Val,tensor(120.7143),0.0009045084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.4278),tensor(5.4871),25.624526262283325,33,tensor(104.9149)
tensor(0.),Test,tensor(113.7272),0.0009045084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(98.3416),tensor(5.4094),25.624526262283325,33,tensor(103.7509)
tensor(0.),Val,tensor(118.8996),0.0007938926261462366,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.9500),tensor(4.6333),25.683322191238403,34,tensor(104.5833)
tensor(0.),Test,tensor(112.1058),0.0007938926261462366,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(98.8846),tensor(4.5516),25.683322191238403,34,tensor(103.4362)
tensor(0.),Val,tensor(117.3008),0.0006545084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.1714),tensor(4.1156),18.928539991378784,35,tensor(104.2870)
tensor(0.),Test,tensor(110.5498),0.0006545084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.0886),tensor(4.0413),18.928539991378784,35,tensor(103.1299)
tensor(0.),Val,tensor(116.2354),0.0005,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.1560),tensor(3.9313),18.939121961593628,36,tensor(104.0873)
tensor(0.),Test,tensor(109.6646),0.0005,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.1027),tensor(3.8510),18.939121961593628,36,tensor(102.9537)
tensor(0.),Val,tensor(116.1710),0.00034549150281252633,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.2117),tensor(3.8635),25.783040523529053,37,tensor(104.0752)
tensor(0.),Test,tensor(109.3359),0.00034549150281252633,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.0887),tensor(3.7992),25.783040523529053,37,tensor(102.8879)
tensor(0.),Val,tensor(115.5605),0.00020610737385376348,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.1658),tensor(3.7941),25.729507446289062,38,tensor(103.9599)
tensor(0.),Test,tensor(108.9405),0.00020610737385376348,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.0791),tensor(3.7294),25.729507446289062,38,tensor(102.8085)
tensor(0.),Val,tensor(115.8664),9.549150281252633e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.1914),tensor(3.8263),25.77236247062683,39,tensor(104.0178)
tensor(0.),Test,tensor(108.8699),9.549150281252633e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.0326),tensor(3.7617),25.77236247062683,39,tensor(102.7943)
tensor(0.),Val,tensor(115.4955),2.4471741852423235e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.1557),tensor(3.7919),25.73785376548767,40,tensor(103.9476)
tensor(0.),Test,tensor(108.9297),2.4471741852423235e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.0790),tensor(3.7273),25.73785376548767,40,tensor(102.8063)
